name,position,shirt_no
Marko Milovanovic,Centre-Forward,29
Stole Dimitrievski,Goalkeeper,1
Dani Cárdenas,Goalkeeper,13
Florian Lejeune,Centre-Back,24
Abdul Mumin,Centre-Back,16
Aridane Hernández,Centre-Back,5
Martín Pascual,Centre-Back,4
Alfonso Espino,Left-Back,12
Pep Chavarría,Left-Back,3
Iván Balliu,Right-Back,20
Andrei Rațiu,Right-Back,2
Miguel Crespo,Central Midfield,15
Óscar Valentín,Central Midfield,23
Unai López,Central Midfield,17
Kike Pérez,Central Midfield,14
Pathé Ciss,Central Midfield,21
Óscar Trejo,Attacking Midfield,8
Randy Nteka,Attacking Midfield,11
José Pozo,Attacking Midfield,6
Álvaro García,Left Winger,18
Bebé,Left Winger,10
Isi Palazón,Right Winger,7
Jorge de Frutos,Right Winger,19
Raúl de Tomás,Centre-Forward,22
Sergio Camello,Centre-Forward,34
Radamel Falcao,Centre-Forward,9
Conan Ledesma,Goalkeeper,1
David Gil,Goalkeeper,13
Fali,Centre-Back,3
Aiham Ousou,Centre-Back,24
Víctor Chust,Centre-Back,5
Jorge Meré,Centre-Back,22
Luis Hernández,Centre-Back,-
Momo Mbaye,Centre-Back,14
Javi Hernández,Left-Back,15
Lucas Pires,Left-Back,33
Iza Carcelén,Right-Back,20
Joseba Zaldua,Right-Back,2
Diadié Samassékou,Defensive Midfield,6
José Mari,Defensive Midfield,-
Rominigue Kouamé,Central Midfield,12
Rubén Alcaraz,Central Midfield,4
Gonzalo Escalante,Central Midfield,17
Fede San Emeterio,Central Midfield,24
Robert Navarro,Attacking Midfield,27
Álex Fernández,Attacking Midfield,8
Juanmi,Left Winger,9
Darwin Machís,Left Winger,18
Brian Ocampo,Left Winger,10
Iván Alejo,Right Winger,11
Chris Ramos,Centre-Forward,16
Maxi Gómez,Centre-Forward,25
Rubén Sobrino,Centre-Forward,7
Roger Martí,Centre-Forward,21
Sergi Guardiola,Centre-Forward,19
