name,position,shirt_no
Armando Izzo,Centre-Back,4
Luca Caldirola,Centre-Back,5
Davide Bettella,Centre-Back,18
Danilo D'Ambrosio,Centre-Back,33
Samuele Birindelli,Right-Back,19
Pedro Pereira,Right-Back,13
Giulio Donati,Right-Back,2
Matteo Pessina,Central Midfield,32
Roberto Gagliardini,Central Midfield,6
Warren Bondo,Central Midfield,38
José Machín,Central Midfield,7
Jean-Daniel Akpa Akpro,Central Midfield,8
Patrick Ciurria,Right Midfield,84
Georgios Kyriakopoulos,Left Midfield,77
Valentín Carboni,Attacking Midfield,21
Andrea Colpani,Attacking Midfield,28
Samuele Vignato,Attacking Midfield,80
Daniel Maldini,Attacking Midfield,27
Matija Popovic,Attacking Midfield,79
Alessio Zerbin,Left Winger,20
Papu Gómez,Left Winger,17
Gianluca Caprari,Second Striker,10
Lorenzo Colombo,Centre-Forward,9
Dany Mota,Centre-Forward,47
Milan Djuric,Centre-Forward,11
Stefano Turati,Goalkeeper,80
Michele Cerofolini,Goalkeeper,31
Pierluigi Frattali,Goalkeeper,1
Caleb Okoli,Centre-Back,5
Ilario Monterisi,Centre-Back,30
Kevin Bonifazi,Centre-Back,33
Simone Romagnoli,Centre-Back,6
Mateus Lusuardi,Centre-Back,47
Sergio Kalaj,Centre-Back,23
Riccardo Marchizza,Left-Back,3
Emanuele Valeri,Left-Back,32
Anthony Oyono,Right-Back,22
Pol Lirola,Right-Back,20
Enzo Barrenechea,Defensive Midfield,45
Luca Mazzitelli,Central Midfield,36
Marco Brescianini,Central Midfield,4
Abdou Harroui,Central Midfield,21
Nadir Zortea,Right Midfield,19
Reinier,Attacking Midfield,12
Luca Garritano,Attacking Midfield,16
Francesco Gelli,Attacking Midfield,14
İsak Vural,Attacking Midfield,15
Arijon Ibrahimovic,Left Winger,27
Giuseppe Caso,Left Winger,10
Jaime Báez,Left Winger,7
Giorgi Kvernadze,Left Winger,17
Soufiane Bidaoui,Left Winger,26
Matías Soulé,Right Winger,18
Demba Seck,Right Winger,8
Farès Ghedjemis,Right Winger,29
Walid Cheddira,Centre-Forward,70
Kaio Jorge,Centre-Forward,9
Marvin Cuni,Centre-Forward,11
Wladimiro Falcone,Goalkeeper,30
Federico Brancolini,Goalkeeper,21
Alexandru Borbei,Goalkeeper,98
Jasper Samooja,Goalkeeper,40
Federico Baschirotto,Centre-Back,6
Marin Pongracic,Centre-Back,5
Ahmed Touba,Centre-Back,59
Kastriot Dermaku,Centre-Back,55
Patrick Dorgu,Left-Back,13
Antonino Gallo,Left-Back,25
Valentin Gendrey,Right-Back,17
Lorenzo Venuti,Right-Back,12
Ylber Ramadani,Defensive Midfield,20
Alexis Blin,Defensive Midfield,29
Joan González,Central Midfield,16
Mohamed Kaba,Central Midfield,77
Hamza Rafia,Central Midfield,8
Daniel Samek,Central Midfield,83
Medon Berisha,Central Midfield,18
Rémi Oudin,Attacking Midfield,10
Lameck Banda,Left Winger,22
Nicola Sansone,Left Winger,11
Pontus Almqvist,Right Winger,7
Santiago Pierotti,Right Winger,50
Jeppe Corfitzen,Right Winger,24
Nikola Krstovic,Centre-Forward,9
Roberto Piccoli,Centre-Forward,91
Rareș Burnete,Centre-Forward,45
Guillermo Ochoa,Goalkeeper,13
Benoît Costil,Goalkeeper,56
Vincenzo Fiorillo,Goalkeeper,1
Pasquale Allocca,Goalkeeper,62
Lorenzo Pirola,Centre-Back,98
Marco Pellegrino,Centre-Back,24
Norbert Gyömbér,Centre-Back,23
Konstantinos Manolas,Centre-Back,44
Triantafyllos Pasalidis,Centre-Back,4
Jérôme Boateng,Centre-Back,5
Federico Fazio,Centre-Back,17
Domagoj Bradaric,Left-Back,3
Alessandro Zanoli,Right-Back,59
Junior Sambia,Right-Back,6
Niccolò Pierozzi,Right-Back,27
Mateusz Legowski,Defensive Midfield,99
