name,position,shirt_no
Hee-chan Hwang,Centre-Forward,11
Nathan Fraser,Centre-Forward,-
Leon Chiwome,Centre-Forward,84
Bernd Leno,Goalkeeper,17
Marek Rodák,Goalkeeper,1
Steven Benda,Goalkeeper,23
Issa Diop,Centre-Back,31
Calvin Bassey,Centre-Back,3
Tosin Adarabioyo,Centre-Back,4
Tim Ream,Centre-Back,13
Antonee Robinson,Left-Back,33
Fodé Ballo-Touré,Left-Back,12
Timothy Castagne,Right-Back,21
Kenny Tete,Right-Back,2
João Palhinha,Defensive Midfield,26
Harrison Reed,Central Midfield,6
Saša Lukić,Central Midfield,28
Tom Cairney,Central Midfield,10
Alex Iwobi,Attacking Midfield,22
Andreas Pereira,Attacking Midfield,18
Bobby De Cordova-Reid,Attacking Midfield,14
Willian,Left Winger,20
Harry Wilson,Right Winger,8
Adama Traoré,Right Winger,11
Armando Broja,Centre-Forward,9
Rodrigo Muniz,Centre-Forward,19
Raúl Jiménez,Centre-Forward,7
James Trafford,Goalkeeper,1
Arijanet Muric,Goalkeeper,49
Lawrence Vigouroux,Goalkeeper,29
Jordan Beyer,Centre-Back,5
Ameen Al-Dakhil,Centre-Back,28
Dara O'Shea,Centre-Back,2
Hjalmar Ekdal,Centre-Back,18
Maxime Estève,Centre-Back,33
Hannes Delcroix,Centre-Back,44
Charlie Taylor,Left-Back,3
Lorenz Assignon,Right-Back,20
Vitinho,Right-Back,22
Sander Berge,Defensive Midfield,16
Han-Noah Massengo,Defensive Midfield,42
Jack Cork,Defensive Midfield,4
Josh Brownhill,Central Midfield,8
Josh Cullen,Central Midfield,24
Aaron Ramsey,Attacking Midfield,21
Mike Trésor,Left Winger,31
Wilson Odobert,Left Winger,47
Luca Koleosho,Left Winger,30
Jacob Bruun Larsen,Left Winger,34
Nathan Redmond,Right Winger,15
Benson Manuel,Right Winger,10
Jóhann Berg Gudmundsson,Right Winger,7
Zeki Amdouni,Centre-Forward,25
Lyle Foster,Centre-Forward,17
David Datro Fofana,Centre-Forward,23
Jay Rodríguez,Centre-Forward,9
Ivo Grbic,Goalkeeper,13
Wes Foderingham,Goalkeeper,18
Adam Davies,Goalkeeper,1
Jordan Amissah,Goalkeeper,37
Anel Ahmedhodzic,Centre-Back,15
Auston Trusty,Centre-Back,5
John Egan,Centre-Back,12
Mason Holgate,Centre-Back,30
Jack Robinson,Centre-Back,19
Chris Basham,Centre-Back,6
Yasser Larouci,Left-Back,27
Max Lowe,Left-Back,3
Rhys Norrington-Davies,Left-Back,33
Jayden Bogle,Right-Back,20
George Baldock,Right-Back,2
Vini Souza,Defensive Midfield,21
Gustavo Hamer,Central Midfield,8
James McAtee,Central Midfield,28
Tom Davies,Central Midfield,22
Anis Slimane,Central Midfield,25
Andre Brooks,Central Midfield,35
Oliver Norwood,Central Midfield,16
Ben Osborn,Central Midfield,23
Ben Brereton Díaz,Left Winger,11
Cameron Archer,Centre-Forward,10
Oli McBurnie,Centre-Forward,9
Rhian Brewster,Centre-Forward,7
William Osula,Centre-Forward,32
Daniel Jebbison,Centre-Forward,36
